Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Rother et al. (2014a)	boulder	Roth2014a-1	Roth2014a-A	RAN-HAK-1	-43.6128	171.1564	662	5	2.65	0.999	115000	7000	NIST_27900	0	0	0	2012	17479	1164	-	-	17068	1381	1043	-	-	-	-
Rother et al. (2014a)	boulder	Roth2014a-2	Roth2014a-A	RAN-HAK-2	-43.6133	171.1564	661	3	2.65	0.999	138000	10000	NIST_27900	950000	80000	Z92-0222	2012	20736	1561	21024	1902	20068	1808	1461	19606	2125	1667	-
Rother et al. (2014a)	boulder	Roth2014a-3	Roth2014a-A	RAN-HAK-3	-43.6133	171.1564	662	3	2.65	0.999	132000	10000	NIST_27900	740000	160000	Z92-0222	2012	19744	1494	16346	3610	19221	1783	1463	15289	3485	3331	-
Rother et al. (2014a)	boulder	Roth2014a-4	Roth2014a-A	RAN-HAK-4	-43.6133	171.1575	654	5	2.65	0.999	110000	13000	NIST_27900	0	0	0	2012	16767	1983	-	-	16443	2137	1951	-	-	-	-
Rother et al. (2014a)	boulder	Roth2014a-5	Roth2014a-B	RAN-SPL-1-1	-43.6142	171.1461	652	2	2.65	0.999	104000	6000	NIST_27900	0	0	0	2012	15674	924	-	-	15183	1192	879	-	-	-	-
Rother et al. (2014a)	boulder	Roth2014a-6	Roth2014a-B	RAN-SPL-1-2	-43.6142	171.1461	652	4	2.65	0.999	100000	7000	NIST_27900	0	0	0	2012	15264	1187	-	-	14853	1307	1044	-	-	-	-
Rother et al. (2014a)	boulder	Roth2014a-7	Roth2014a-B	RAN-SPL-1-3	-43.6181	171.1439	645	7	2.65	0.999	128000	6000	NIST_27900	1050000	100000	Z92-0222	2012	20065	1038	24415	2334	19552	1387	921	22605	2656	2177	-
Rother et al. (2014a)	boulder	Roth2014a-8	Roth2014a-C	RAN-SPL-3-1	-43.6094	171.1228	686	4	2.65	0.999	125000	5000	NIST_27900	0	0	0	2012	18482	886	-	-	18005	1197	723	-	-	-	-
Rother et al. (2014a)	boulder	Roth2014a-9	Roth2014a-C	RAN-SPL-3-2	-43.6097	171.1233	688	4	2.65	0.999	197000	6000	NIST_27900	1250000	110000	Z92-0222	2012	29029	1033	27325	2494	27934	1714	857	25234	2819	2248	-
Rother et al. (2014a)	boulder	Roth2014a-10	Roth2014a-C	RAN-SPL-3-3	-43.6225	171.1344	647	4	2.65	0.999	104000	4000	NIST_27900	0	0	0	2012	15934	714	-	-	15505	1016	599	-	-	-	-
