Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Cuzzone et al. (2016)	boulder	Cuzz2016-1	Cuzz2016-A	Swe-03	58.9408	14.89	240	2	2.65	1	67516	3395	07KNSTD	0	0	0	2011	12900	700	-	-	12599	946	636	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-2	Cuzz2016-A	Swe-06	58.9408	14.89	232	2	2.65	1	68733	1931	07KNSTD	0	0	0	2011	13300	400	-	-	12926	806	364	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-3	Cuzz2016-B	Swe-07	58.71	14.6	232	2	2.65	1	62886	8804	07KNSTD	0	0	0	2011	12200	1700	-	-	11837	1788	1662	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-4	Cuzz2016-B	Swe-08	58.71	14.6	232	2	2.65	1	66056	2521	07KNSTD	0	0	0	2011	12800	500	-	-	12437	839	476	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-5	Cuzz2016-C	Swe-10	59.8	14.4	220	2	2.65	1	63367	2659	07KNSTD	0	0	0	2011	12600	500	-	-	11977	835	504	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-6	Cuzz2016-C	Swe-12	59.8	14.4	216	2	2.65	1	62438	2449	07KNSTD	0	0	0	2011	12500	500	-	-	11845	807	466	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-7	Cuzz2016-C	Swe-13	59.75	14.4	203	2	2.65	1	63304	2502	07KNSTD	0	0	0	2011	12600	500	-	-	12164	830	482	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-8	Cuzz2016-C	Swe-14	59.75	14.4	203	2	2.65	1	57902	2916	07KNSTD	0	0	0	2011	11700	600	-	-	11115	835	561	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-9	Cuzz2016-C	Swe-17	59.75	14.4	188	2	2.65	1	65127	2828	07KNSTD	0	0	0	2011	13400	600	-	-	12697	897	553	-	-	-	Cuzzone et al. (2014)
Cuzzone et al. (2016)	boulder	Cuzz2016-10	Cuzz2016-D	Swe-18	60.695	14.2	270	2	2.65	1	57645	1659	07KNSTD	0	0	0	2011	10800	300	-	-	10309	645	297	-	-	-	Cuzzone et al. (2014)
