Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Ceperley et al. (2020)	boulder	Cepe2020-1	Cepe2020-A	PG-FI-001-15	80.6355	-66.7306	444	1.5	2.65	1	162540	5140	07KNSTD	0	0	0	2015	25500	800	-	-	24007	1672	764	-	-	-	-
Ceperley et al. (2020)	boulder	Cepe2020-2	Cepe2020-A	PG-FI-002-15	80.6363	-66.7323	442	2	2.65	1	85310	2270	07KNSTD	0	0	0	2015	13400	300	-	-	12636	850	337	-	-	-	-
Ceperley et al. (2020)	boulder	Cepe2020-3	Cepe2020-A	PG-FI-003-15	80.6365	-66.7321	443	2.5	2.65	1	111630	2800	07KNSTD	0	0	0	2015	17500	400	-	-	16611	1109	418	-	-	-	-
Ceperley et al. (2020)	boulder	Cepe2020-4	Cepe2020-A	PG-FI-004-15	80.6370	-66.7337	444	3	2.65	1	112970	3690	07KNSTD	0	0	0	2015	17900	500	-	-	16868	1181	553	-	-	-	-
Ceperley et al. (2020)	boulder	Cepe2020-5	Cepe2020-A	PG-FI-005-15	80.6365	-66.7271	447	1.5	2.65	1	143360	5550	07KNSTD	0	0	0	2015	22400	800	-	-	21094	1542	821	-	-	-	-
Ceperley et al. (2020)	boulder	Cepe2020-6	Cepe2020-A	PG-FI-006-15	80.6360	-66.7296	447	2.25	2.65	1	137000	3210	07KNSTD	0	0	0	2015	21700	500	-	-	20285	1343	478	-	-	-	-
Ceperley et al. (2020)	boulder	Cepe2020-7	Cepe2020-B	PG-JI-001-15	81.25072	-63.51956	188	3	2.65	1	165750	5420	07KNSTD	0	0	0	2015	34200	1100	-	-	32163	2261	1060	-	-	-	-
Ceperley et al. (2020)	boulder	Cepe2020-8	Cepe2020-B	PG-JI-002-15	81.2516	-63.5257	175	2.5	2.65	0.985	53280	2120	07KNSTD	0	0	0	2015	11100	400	-	-	10502	772	419	-	-	-	-
Ceperley et al. (2020)	boulder	Cepe2020-9	Cepe2020-B	PG-JI-003-15	81.2513	-63.5275	173	1.25	2.65	1	77630	2480	07KNSTD	0	0	0	2015	15900	500	-	-	14994	1044	481	-	-	-	-
Ceperley et al. (2020)	boulder	Cepe2020-10	Cepe2020-B	PG-JI-004-15	81.2513	-63.5277	173	2.25	2.65	0.999	46750	1930	07KNSTD	0	0	0	2015	9600	400	-	-	9072	674	375	-	-	-	-
