Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Licciardi and Pierce (2008)	boulder	LicPie2008-1	LicPie2008-A	MU-1	43.36597	-110.8301	2137	2.5	2.7	1	1593900	22400	NIST_Certified	0	0	0	2006	66900	1000	-	-	77091	4964	1105	-	-	-	Licciardi and Pierce (2018)
Licciardi and Pierce (2008)	boulder	LicPie2008-2	LicPie2008-A	MU-2	43.36570	-110.8302	2132	1.5	2.7	1	3428600	35200	KNSTD	0	0	0	2006	156900	1900	-	-	141455	9150	1505	-	-	-	Licciardi and Pierce (2018)
Licciardi and Pierce (2008)	boulder	LicPie2008-3	LicPie2008-A	MU-3	43.36160	-110.8246	2161	1.75	2.7	1	2990400	77200	KNSTD	0	0	0	2006	131000	3900	-	-	120886	8320	3217	-	-	-	Licciardi and Pierce (2018)
Licciardi and Pierce (2008)	boulder	LicPie2008-4	LicPie2008-A	MU-4	43.36264	-110.8253	2171	1.25	2.7	1	2906200	29100	KNSTD	0	0	0	2006	125200	1400	-	-	116266	7468	1199	-	-	-	Licciardi and Pierce (2018)
Licciardi and Pierce (2008)	boulder	LicPie2008-5	LicPie2008-A	MU-5	43.36639	-110.8624	2080	1.5	2.7	1	2955400	29800	KNSTD	0	0	0	2006	137500	1600	-	-	126432	8143	1316	-	-	-	Licciardi and Pierce (2018)
Licciardi and Pierce (2008)	boulder	LicPie2008-6	LicPie2008-A	MU-6	43.36599	-110.8598	2109	1.5	2.7	1	2904500	53200	KNSTD	0	0	0	2006	131600	2700	-	-	121703	8061	2298	-	-	-	Licciardi and Pierce (2018)
Licciardi and Pierce (2008)	boulder	LicPie2008-7	LicPie2008-A	MU-7	43.36616	-110.8590	2121	1.5	2.7	1	2716300	30100	KNSTD	0	0	0	2006	120700	1500	-	-	113104	7280	1289	-	-	-	Licciardi and Pierce (2018)
Licciardi and Pierce (2008)	boulder	LicPie2008-8	LicPie2008-A	MU-8	43.36618	-110.8589	2122	2.25	2.7	1	3282700	33000	KNSTD	0	0	0	2006	151300	1800	-	-	137112	8855	1427	-	-	-	Licciardi and Pierce (2018)
Licciardi and Pierce (2008)	boulder	LicPie2008-9	LicPie2008-B	CF-1	44.87844	-109.2506	1405	0.4	2.7	1	316100	7200	KNSTD	0	0	0	2006	20000	500	-	-	22035	1455	505	-	-	-	Licciardi and Pierce (2018)
Licciardi and Pierce (2008)	boulder	LicPie2008-10	LicPie2008-B	CF-2	44.87807	-109.2501	1405	2	2.7	1	291700	6700	KNSTD	0	0	0	2006	18700	500	-	-	20721	1369	478	-	-	-	Licciardi and Pierce (2018)
