Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Makos et al. (2018)	boulder	Mako2018-1	Mako2018-A	SW-01	49.2836	20.0329	1096	2.6	2.7	0.9984	175917	9856	07KNSTD	0	0	0	2016	17200	1000	-	-	16875	1411	949	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-2	Mako2018-A	SW-02	49.2836	20.0329	1096	1.9	2.7	0.9984	221775	9504	07KNSTD	0	0	0	2016	21700	1000	-	-	20977	1582	904	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-3	Mako2018-A	SW-03	49.2836	20.0329	1096	1.6	2.7	0.9984	155892	9784	07KNSTD	0	0	0	2016	15100	1000	-	-	14892	1314	938	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-4	Mako2018-A	SW-04	49.2836	20.0329	1096	2.1	2.7	0.9984	285825	19379	07KNSTD	0	0	0	2016	28300	2000	-	-	26858	2476	1833	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-5	Mako2018-A	SW-05	49.2836	20.0329	1096	2.1	2.7	0.9984	258275	19125	07KNSTD	0	0	0	2016	25400	2000	-	-	24333	2358	1813	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-6	Mako2018-B	PA-11	49.2603	20.0523	1320	6.2	2.7	0.9966	238558	14617	07KNSTD	0	0	0	2016	20100	1300	-	-	19473	1700	1199	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-7	Mako2018-B	PA-12	49.2608	20.0524	1320	3.1	2.7	0.9966	238578	14655	07KNSTD	0	0	0	2016	19600	1300	-	-	18981	1659	1171	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-8	Mako2018-B	PA-13	49.2608	20.0524	1320	6.7	2.7	0.9966	264769	13666	07KNSTD	0	0	0	2016	22500	1200	-	-	21606	1745	1121	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-9	Mako2018-B	PA-14	49.2623	20.0520	1320	3.2	2.7	0.9966	154292	8188	07KNSTD	0	0	0	2016	12600	700	-	-	12521	1021	667	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-10	Mako2018-C	PA-06	49.2461	20.0372	1591	4.9	2.7	0.9871	210680	11702	07KNSTD	0	0	0	2016	14200	800	-	-	13923	1159	776	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-11	Mako2018-C	PA-07	49.2463	20.0370	1587	3.2	2.7	0.9871	242686	12990	07KNSTD	0	0	0	2016	16300	900	-	-	15768	1292	847	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-12	Mako2018-C	PA-08	49.2463	20.0368	1578	4.7	2.7	0.9871	215978	13605	07KNSTD	0	0	0	2016	14700	1000	-	-	14378	1271	909	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-13	Mako2018-C	PA-09	49.2463	20.0368	1578	5.2	2.7	0.9871	235757	13191	07KNSTD	0	0	0	2016	16200	900	-	-	15699	1311	882	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-14	Mako2018-C	PA-10	49.2468	20.0363	1574	3.7	2.7	0.9871	239832	9166	07KNSTD	0	0	0	2016	16300	600	-	-	15813	1151	607	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-15	Mako2018-D	PA-01	49.2380	20.0398	1710	5.1	2.7	0.9609	231601	7416	07KNSTD	0	0	0	2016	14700	500	-	-	14299	996	459	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-16	Mako2018-D	PA-02	49.2383	20.0391	1705	5.6	2.7	0.9609	340010	24117	07KNSTD	0	0	0	2016	22000	1600	-	-	20852	1969	1487	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-17	Mako2018-D	PA-03	49.2383	20.0391	1705	5.6	2.7	0.9609	315646	16771	07KNSTD	0	0	0	2016	20300	1100	-	-	19417	1587	1037	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-18	Mako2018-D	PA-04	49.2381	20.0388	1705	5.3	2.7	0.9609	264076	11963	07KNSTD	0	0	0	2016	16900	800	-	-	16308	1252	742	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-19	Mako2018-D	PA-05	49.2381	20.0388	1705	6	2.7	0.9609	257297	13063	07KNSTD	0	0	0	2016	16600	900	-	-	15994	1282	815	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-20	Mako2018-E	LP-01	49.2706	20.1212	978	2.1	2.7	0.9920	233070	12754	07KNSTD	0	0	0	2016	25500	1500	-	-	24469	2028	1347	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-21	Mako2018-E	LP-02	49.2704	20.1208	981	1.6	2.7	0.9920	497160	27892	07KNSTD	0	0	0	2016	57000	3600	-	-	51857	4376	2947	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-22	Mako2018-E	LP-03	49.2704	20.1208	979	2.1	2.7	0.9920	357105	20348	07KNSTD	0	0	0	2016	39900	2500	-	-	37331	3161	2147	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-23	Mako2018-E	LP-04	49.2695	20.1199	984	1.1	2.7	0.9920	32019	6134	07KNSTD	0	0	0	2016	3300	600	-	-	3298	664	632	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-24	Mako2018-E	LP-05	49.2725	20.1242	977	2.6	2.7	0.9920	312291	26078	07KNSTD	0	0	0	2016	34900	3100	-	-	32860	3437	2767	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-25	Mako2018-E	LP-06	49.2724	20.1242	975	6.1	2.7	0.9920	218786	13315	07KNSTD	0	0	0	2016	24800	1600	-	-	23856	2078	1461	-	-	-	-
Makos et al. (2018)	bedrock	Mako2018-26	Mako2018-F	PSP-15	49.2124	20.0435	1674	4.6	2.7	0.9814	215981	7175	07KNSTD	0	0	0	2016	13700	500	-	-	13433	943	448	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-27	Mako2018-F	PSP-16	49.2124	20.0435	1674	3.1	2.7	0.9814	243569	8292	07KNSTD	0	0	0	2016	15300	500	-	-	14877	1051	508	-	-	-	-
